ID_Produto,CPF_Aluno,Quantidade_Comprada,Data_Compra
1,032.968.745-00,5,2024-01-21
1,105.962.743-43,10,2024-09-08
1,235.149.687-64,9,2025-07-13
1,256.843.901-70,9,2024-07-30
1,926.014.578-30,6,2024-05-03
2,015.872.963-30,8,2026-03-19
2,024.619.853-24,7,2025-06-12
2,246.057.391-06,10,2025-12-28
2,439.587.261-19,4,2025-12-03
2,795.328.401-41,7,2024-12-16
2,867.450.391-84,7,2025-11-22
3,024.619.853-24,10,2025-12-06
3,061.498.723-78,5,2025-12-08
3,205.876.493-56,6,2024-12-06
3,356.982.147-19,7,2025-03-30
3,795.328.401-41,6,2024-06-05
3,867.450.391-84,8,2024-09-21
4,061.498.723-78,1,2026-03-25
4,109.756.842-30,6,2024-02-28
4,129.748.563-73,2,2024-12-11
4,145.620.738-53,4,2025-05-08
4,356.982.147-19,8,2025-02-01
4,439.587.261-19,8,2025-11-15
4,504.983.671-93,5,2024-08-01
4,670.925.381-30,6,2025-08-24
4,926.014.578-30,6,2024-05-18
5,105.962.743-43,9,2026-04-19
5,205.876.493-56,6,2025-08-02
5,256.843.901-70,2,2024-10-17
5,439.587.261-19,8,2026-01-03
5,651.370.429-43,1,2024-08-11
6,029.346.875-38,9,2024-03-25
6,032.968.745-00,4,2026-01-05
6,145.620.738-53,1,2024-01-07
6,246.057.391-06,1,2024-06-09
6,256.184.093-05,10,2024-06-03
6,651.370.429-43,5,2026-03-13
6,704.869.321-50,5,2025-07-26
6,795.328.401-41,7,2024-08-02
6,926.014.578-30,10,2025-02-26
7,015.872.963-30,5,2024-10-15
7,024.619.853-24,8,2024-11-04
7,061.498.723-78,6,2026-02-09
7,109.756.842-30,4,2025-01-05
7,129.748.563-73,9,2024-11-28
7,807.942.153-60,3,2024-02-16
7,903.278.451-04,6,2024-04-11
8,129.748.563-73,8,2026-04-03
8,173.204.986-69,3,2026-04-09
8,429.153.706-99,8,2024-04-13
9,205.876.493-56,4,2024-03-11
9,235.149.687-64,9,2024-03-09
9,239.758.041-14,1,2025-02-08
9,256.843.901-70,9,2025-09-24
9,704.869.321-50,6,2024-10-28
9,867.450.391-84,8,2026-04-29
10,109.756.842-30,1,2025-08-14
10,173.204.986-69,1,2025-01-04
10,256.184.093-05,3,2026-03-24
10,504.983.671-93,3,2025-07-05
10,608.751.294-20,3,2024-03-16
10,704.869.321-50,4,2025-09-21
10,903.278.451-04,4,2024-06-11
10,941.805.763-84,6,2025-11-23
